id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16712046,NEW Luxury Apt | Exposed Brick G57,99430572,Canal Street Rentals,,Central Business District,29.95323,-90.0675,Entire home/apt,200,2,62,2020-03-01,1.51,34,21
16717271,1st Responders - Nurses  Inquire via Msg to Book,110792547,Joy,,Gentilly Terrace,29.99421,-90.05081,Entire home/apt,119,30,36,2020-02-23,0.97,2,270
16718674,BUNNY'S SECRET NEW ORLEANS GARDEN HOUSE,76836055,Bunny,,Broadmoor,29.95088,-90.10412,Entire home/apt,125,3,145,2020-05-25,3.61,1,326
16723525,Huge Property in Great Location 2116,66925019,Bianka,,Central City,29.9359,-90.08125,Entire home/apt,230,2,84,2020-02-23,2.05,12,180
16725935,Magnificent Manor with Home Theater & Courtyard Off Magazine,110887182,Ashley & Chris,,Lower Garden District,29.93239,-90.07473,Entire home/apt,875,2,92,2020-03-16,2.29,7,315
16738494,"Charming & Stylish Studio, close to St Charles Ave",12311444,Cali,,Central City,29.9356,-90.08421,Entire home/apt,99,2,140,2020-03-19,3.39,1,168
16741902,"3 room, private, luxury suite-Starting at $135",97426599,John And Sheri,,Fairgrounds,29.98241,-90.08653,Entire home/apt,150,2,21,2020-02-27,0.52,1,80
16743094,NEW Luxury Apt w Camp Street View G52,99430572,Canal Street Rentals,,Central Business District,29.95122,-90.06952,Entire home/apt,199,2,61,2020-03-15,1.49,34,89
16752473,Cozy Private Rooms for the Festival Aficionado,2984406,Nicole,,Fillmore,30.00357,-90.08233,Private room,75,2,84,2020-03-09,2.23,1,0
16754692,NEW CANAL ST BAY WINDOW LUXURY APT G55,99430572,Canal Street Rentals,,Central Business District,29.95232,-90.06759,Entire home/apt,220,2,64,2020-03-09,1.70,34,21
16758166,CANAL ST. SUITE | PRIVATE BALCONY | BEST LOCATION,99430572,Canal Street Rentals,,French Quarter,29.95392,-90.06735,Entire home/apt,255,2,26,2020-03-01,0.66,34,22
16766448,2BR Camp St Balcony w Exposed Brick,99430572,Canal Street Rentals,,Central Business District,29.95374,-90.06892,Entire home/apt,500,2,56,2020-02-27,1.37,34,22
16767102,PRIVATE 2 BED 2 BATH IN HISTORIC UPTOWN BROADMOOR,49807520,Jason,,Broadmoor,29.94361,-90.09984,Entire home/apt,200,30,4,2018-02-25,0.10,1,0
16779258,New cute contemporary - under the oaks,2853380,Emilie,,Seventh Ward,29.97784,-90.07304,Entire home/apt,80,30,25,2019-10-28,0.61,1,0
16780882,Heart of New Orleans with a Hip Host!,108918514,Jessica,,Broadmoor,29.94969,-90.10745,Entire home/apt,95,2,194,2020-05-25,4.77,1,163
