id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17541483,"Perfect for SXSW. 1x1, easy walk to DT!",12587635,Jasmine,,78704,30.25849,-97.75058,Entire home/apt,75,2,1,2017-03-15,0.03,1,0
17542748,French Place Contemporary,806961,Jim,,78722,30.29071,-97.7186,Entire home/apt,400,1,7,2019-04-14,0.26,2,7
17542969,Cozy bed to crash on in shared living room,20522731,Norense,,78745,30.21079,-97.81524,Shared room,29,1,1,2017-03-15,0.03,4,0
17543321,Futon in shared living room,20522731,Norense,,78745,30.21035,-97.81548,Shared room,20,1,0,,,4,0
17543455,Cozy room in cool Central Austin,85377001,Russ,,78704,30.24373,-97.76035,Private room,52,3,50,2020-03-17,1.29,1,13
17543873,1️⃣BLOCK to SoCo ★Lux-Glam Home ★Grand Open Spaces,8510754,Heart,,78704,30.24556,-97.74997,Entire home/apt,1295,1,25,2020-03-08,0.96,4,172
17544857,The Lodge on Lamar,72682985,Chelsea,,78756,30.32048,-97.73204,Entire home/apt,95,29,35,2020-04-01,0.92,2,15
17545365,"Downtown Casa - neighborhood feel, close to it all",26502184,Deanna,,78702,30.25707,-97.73351,Entire home/apt,209,1,210,2020-03-26,5.45,2,113
17545554,East Side Room for SXSW,91707597,Harrison,,78723,30.28783,-97.70517,Private room,60,1,0,,,1,0
17545745,East Austin Gem Walk Everywhere,1523587,Dallas,,78702,30.25218,-97.72004,Entire home/apt,165,1,60,2019-12-30,1.55,16,90
17546604,East Central Vintage Camper & Shower House,915164,Melody,,78722,30.28521,-97.70735,Entire home/apt,100,1,145,2020-03-15,3.75,1,88
17547673,Downtown/Central Austin home.  Minutes from dwntwn,119059786,Cary,,78701,30.28337,-97.74876,Entire home/apt,200,1,4,2017-03-17,0.10,1,0
17554076,Spacious Master Bedroom + Bathroom,118606859,Jenna,,78724,30.27437,-97.63115,Private room,75,2,0,,,2,0
